Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-10-24_18:47, 20.125, None, None, 0, None, None, None, None, None, None
2018-10-24_18:47, 20.1875, None, None, 0, None, None, None, None, None, None
2018-10-28_13:33, 20.4375, None, None, 0, None, None, None, None, None, None
2018-10-28_13:33, 20.4375, None, None, 0, None, None, None, None, None, None
2018-10-28_13:34, 20.4375, None, None, 0, None, None, None, None, None, None
2018-10-28_13:34, 20.375, None, None, 0, None, None, None, None, None, None
2018-10-28_13:34, 20.5, None, None, 0, None, None, None, None, None, None
2018-10-28_13:34, 20.4375, None, None, 0, None, None, None, None, None, None
2018-10-28_13:35, 20.5, None, None, 0, None, None, None, None, None, None
2018-10-28_13:35, 20.4375, None, None, 0, None, None, None, None, None, None
2018-10-28_13:35, 20.4375, None, None, 0, None, None, None, None, None, None
2018-10-28_13:35, 20.5, None, None, 0, None, None, None, None, None, None
2018-10-28_13:36, 20.5, None, None, 0, None, None, None, None, None, None
2018-10-28_13:36, 20.5, None, None, 0, None, None, None, None, None, None
2018-10-28_13:37, 20.5, None, None, 0, None, None, None, None, None, None
2018-10-28_13:37, 20.5, None, None, 0, None, None, None, None, None, None
2018-10-28_13:37, 20.5, None, None, 0, None, None, None, None, None, None
2018-10-28_13:37, 20.5625, None, None, 0, None, None, None, None, None, None
