Time, Temp[C], CO2[ppm], TVOC[ppm], Rain[V], Noise[dBV], Wind[mV], Sun[V], Battery[V], Current[mA], Watt[mW]
2018-09-14_11:41, 23.625, 435, 5, 0, 4.352, None, None, None, None, None
2018-09-14_11:42, 23.625, 435, 5, 0, 4.352, None, None, None, None, None
2018-09-14_11:42, 23.625, 435, 5, 0, 4.352, None, None, None, None, None
2018-09-14_11:42, 23.625, 428, 4, 0, 4.352, None, None, None, None, None
2018-09-14_11:42, 23.6875, 425, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:43, 23.75, 415, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:43, 23.8125, 409, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:43, 23.75, 411, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:43, 23.6875, 405, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:44, 23.625, 406, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:44, 23.6875, 411, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:44, 23.75, 415, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:45, 23.625, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:45, 23.5625, 411, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:45, 23.5625, 410, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:46, 23.625, 414, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:46, 23.5625, 416, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:46, 23.625, 417, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:32, 23.625, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:32, 23.625, 403, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:32, 23.5625, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:32, 23.5625, 410, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:32, 23.5625, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:32, 23.5, 406, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, 23.5, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, 23.5, 408, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, 23.5, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, 23.5, 408, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, 23.5, 408, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, 23.5625, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, 23.5625, 410, 1, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.5, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.5625, 416, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.5625, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.5625, 414, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.5625, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.5625, 414, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.5, 421, 3, 0, 4.352, None, None, None, None, None
2018-09-14_11:34, 23.5625, 416, 2, 0, 4.352, None, None, None, None, None
2018-09-14_11:32, None, 400, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:32, None, 400, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:32, None, 400, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, None, 400, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, None, 400, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, None, 400, 0, 0, 4.352, None, None, None, None, None
2018-09-14_11:33, None, 401, 0, 0, 4.352, None, None, None, None, None
2018-10-24_09:47, None, 400, 0, 0, 4.352, None, None, None, None, None
2018-10-25_14:36, None, 400, 0, 0, 4.352, None, None, None, None, None
2018-10-25_14:37, None, 400, 0, 0, 4.352, None, None, None, None, None
2018-10-25_14:37, None, 405, 0, 0, 4.352, None, None, None, None, None
2018-10-25_14:37, None, 400, 0, 0, 4.352, None, None, None, None, None
